,Country,Year,Score,Low,High,Economy,Family,Health,Freedom,Trust,Generosity,Dystopia,Ind 1,Ind 2,Ind 3,Ind 4,Ind 5,Ind 6,Ind 7,Ind 8,Ind 9,Ind 10,Ind 11,Ind 12,Ind 13,Ind 14,Ind 15,Ind 16,Ind 17,Ind 18,Ind 19,Ind 20,Ind 21,Ind 22,Ind 23,Ind 24,Ind 25,Ind 26,Ind 27,Ind 28,Ind 29,Ind 30,Ind 31,Ind 32,Ind 33
10,Angola,2016,3.866,3.753,3.979,0.84731,0.66366,0.04991,0.00589,0.08434,0.12071,2.09459,40.5206069946289,,2.61501393452414,-0.783082867159763,3.57,3.061930884,97.2742116775173,41.819,,,,,8.513,,,17.5116635350998,,101123851090.473,-2.58009724295775,30.0935222813957,,11.6381105550182,29.9,84.6,28813463.0,26.76619,,,1246700.0,9.73251223441435,53.3701552785783,,
11,Angola,2017,3.79500007629395,3.63835821717978,3.95164193540812,0.858428180217743,1.10441195964813,0.0498686656355858,0.0,0.0697203353047371,0.097926490008831,1.61448240280151,,,,,,,96.8985180613422,,,,,,,,,16.6711371453758,,122123822333.73,-0.147207422348259,29.8816832372997,,,29.1,81.1,29784193.0,,,,1246700.0,9.22377745370769,52.2568214486025,,
12,Argentina,2015,6.574,6.52788,6.62012,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,2.836,99.9952087402344,99.7343,2.19356665853401,1.16675324575732,5.05731390486252,14.60355782,56.5490070488899,17.364,,,,,7.57,30.04134,41.33272,25.0083932347048,0.57692067,594749285413.212,2.73115982828946,15.9957828960867,99.5597,0.765932390755125,6.7,11.4,43417765.0,,,10.040077613914,2780400.0,12.3365069418291,22.4862260889792,,
13,Argentina,2016,6.65,6.56,6.74,1.15137,1.06612,0.69711,0.42284,0.07296,0.10989,3.12985,100.0,99.34152,-2.17217102244308,-3.13079491756399,5.05731390486252,13.96123633,56.5422464275751,17.172,,,,,7.564,30.07402,40.93612,26.3059150177128,,554860945013.62,-1.82254217028903,16.0727734450585,99.5027099999999,-5.19941824629092,6.3,10.9,43847430.0,,,,2780400.0,12.1555053704666,26.1219138061676,,
14,Argentina,2017,6.59899997711182,6.50791486814618,6.69008508607745,1.18529546260834,1.44045114517212,0.695137083530426,0.494519203901291,0.059739887714386,0.109457060694695,2.61400532722473,,,,,,,56.4547646794728,,,,,,,,,24.5226515151507,,637430331479.469,2.85446613725399,15.9823020434667,,3.03191008766062,5.9,10.4,44271041.0,,,,2780400.0,11.0478010766613,25.0208364920701,8.34739971160889,
15,Armenia,2015,4.35,4.30237,4.3976299999999995,0.76821,0.77711,0.7299,0.19847,0.039,0.07855,1.75873,100.0,92.80933,-2.1063902247966,-2.46649184905752,2.70019284717504,17.42676423,44.4122587662516,13.808,,,,,9.694,19.3593,,25.0779813488419,1.0829009,10553337672.9872,3.20000000000005,8.80828526547093,,-5.5,7.4,14.0,2916950.0,,,15.7920038357833,29740.0,20.931220827141,71.5932653468932,,
16,Armenia,2016,4.36,4.266,4.454,0.86086,0.62477,0.64083,0.14037,0.03616,0.07793,1.97864,100.0,92.32759,-2.18266795532173,-2.44573788309273,2.70019284717504,15.86417449,44.8949433189816,13.456,,,,,9.688,20.66574,51.07427,25.7115181584805,,10546135160.031,0.200000000000003,9.24953133265322,,11.1000000000001,7.0,13.3,2924816.0,,,,29740.0,21.2773752756378,75.9178800280663,,
17,Armenia,2017,4.37599992752075,4.28526524275541,4.46673461228609,0.900596737861633,1.00748372077942,0.637524425983429,0.198303267359734,0.0266744215041399,0.0834880918264389,1.5214991569519,,92.39764,,,,,45.431545263208,,,,,,,,,22.6118118808271,,11536590635.8268,7.49999999999989,8.43363812414353,,5.89999999999986,6.7,12.6,2930450.0,,,,29740.0,20.764203925029,86.8680941833861,17.7045001983643,
18,Australia,2015,7.284,7.24317,7.3248299999999995,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,2.26646,100.0,97.1200999999999,1.40175548733407,-0.0720121226808459,4.91726265807917,23.60243089,51.0854579040657,12.8,,,,,6.6,31.78434,30.52541,26.7895601589733,0.0,1349034029453.37,2.35113644074406,24.6218709217444,,-1.41569403420225,2.3,3.8,23850784.0,,,9.18050295980786,7741220.0,22.0428098117434,41.5473873260458,6.05569982528687,
19,Australia,2016,7.313,7.241,7.385,1.44443,1.10476,0.8512,0.56837,0.32331,0.47407,2.5465,100.0,96.783,0.536792689715497,-0.958232065058894,4.91726265807917,21.90645589,51.8630483195639,12.5,,,,,6.5,,,26.9626368700003,,1208039015868.39,2.82731051096303,23.0301324894373,,-2.36202148702634,2.2,3.7,24210809.0,,,,7741220.0,22.2892931084765,40.7714731948103,5.71080017089844,
20,Australia,2017,7.28399991989136,7.2113486148417,7.35665122494102,1.484414935112,1.51004195213318,0.84388679265976,0.601607382297516,0.301183730363846,0.477699249982834,2.06521081924438,,,,,,,52.7093363336846,,,,,,,,,26.706707151666,,1323421072479.07,1.95757542160659,24.6361251114135,,-1.79947564947962,2.1,3.5,24598933.0,,,,7741220.0,22.2131799644844,41.8929700625283,5.59380006790161,
21,Austria,2015,7.2,7.16249,7.23751,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,2.5332,100.0,,0.862117671171589,-0.26222543076841,5.21872049640607,25.67132514,49.1656666425614,9.8,,,,,9.6,16.56793,39.87736,46.1915253646393,,382065930307.978,1.09185423166194,27.499755655533,,0.647181388570857,2.3,3.7,8642699.0,9.57663,10.58415,34.3949917477854,83879.00390625,26.7793872371983,102.136010417855,5.72270011901855,
22,Austria,2016,7.119,7.045,7.193,1.45038,1.08383,0.80565,0.54355,0.21348,0.32865,2.69343,100.0,,2.11329626330425,1.01499604901589,5.21872049640607,26.02587354,49.5298368459148,10.0,,,,,9.2,,,45.57307207773,,390799991147.468,1.45091543821485,27.2942147358658,,1.29132987519694,2.2,3.6,8736668.0,9.41777,10.30374,,83879.00390625,25.6665724682797,101.167012721198,6.01380014419556,
23,Austria,2017,7.00600004196167,6.94133027181029,7.07066981211305,1.48709726333618,1.4599449634552,0.815328419208527,0.567766189575195,0.221060365438461,0.316472321748734,2.1385064125061,,,,,,,49.9096377546054,,,,,,,,,,,416595666396.636,3.03527267887569,28.3679886969999,,6.75539356546058,2.2,3.6,8809212.0,,,,83879.00390625,,104.707771937866,5.49900007247925,
24,Azerbaijan,2015,5.212,5.17837,5.245629999999999,1.02389,0.93793,0.64045,0.3703,0.16065,0.07799,2.00073,100.0,94.26275,,,2.60701541831002,28.59109432,40.1514174415463,17.2,,,,,5.7,,55.66633,24.7887090842221,0.51146978,53074370486.0433,1.0999998090951,30.9016182420008,99.94278,7.70000395067927,13.6,26.4,9649341.0,,13.49787,2.31075768577815,86600.0,15.6031629275469,72.6015079073189,4.96000003814697,
25,Azerbaijan,2016,5.291,5.226,5.356,1.12373,0.76042,0.54504,0.35327,0.17914,0.0564,2.2735,100.0,94.96529,,,2.60701541831002,22.8174167,40.8816025988089,16.3,,,,,5.8,,72.42741,,,37867518957.1975,-3.10000020204575,28.4594837915307,99.9404799999999,-1.59949737759598,12.6,24.6,9757812.0,7.12627,15.48619,,86600.0,,90.0773187345677,5.0,
26,Azerbaijan,2017,5.23400020599365,5.16871387675405,5.29928653523326,1.15360176563263,1.15240025520325,0.540775775909424,0.398155838251114,0.180987507104874,0.0452693402767181,1.76248168945312,,94.05446,,,,,41.4331825466844,,,,,,,,,,,40747792237.9735,0.0999998139003679,30.8608670979296,,-1.80000055227445,11.8,23.0,9862429.0,7.3865,15.458,,86600.0,,90.6635906985233,5.0,
27,Bahrain,2015,5.96,5.90588,6.01412,1.32376,1.21624,0.74716,0.45492,0.306,0.17362,1.73797,100.0,97.99544,8.20813486794722,5.41130572336004,2.91,,30.1643071101703,15.111,,,,,2.348,32.98692,44.22464,,,31125851063.8298,2.86196782508222,37.299843121439,,3.20133459974186,3.2,7.6,1371855.0,9.86281,11.73164,0.0,778.000030517578,,154.067392842373,,
28,Bahrain,2016,6.218,6.128,6.308,1.44024,0.94397,0.65696,0.47375,0.25772,0.17147,2.27405,100.0,97.90026,1.93493394314071,-1.87847717602499,2.91,,29.2565420904034,14.762,,,,,2.359,,,,,32152686170.2128,3.21593363864166,37.8715752050762,,5.20937806043584,3.2,7.5,1425171.0,9.79181,12.05837,,778.000030517578,,139.553543142304,,
29,Bahrain,2017,6.08699989318848,5.99501071855426,6.17898906782269,1.48841226100922,1.32311046123505,0.653133034706116,0.536746919155121,0.257042169570923,0.172668486833572,1.65614938735962,,98.86201,,,,,28.3595412855871,,,,,,,,,,,35307127659.5745,3.88483053415689,,,1.04972747459794,3.1,7.3,1492584.0,10.1467,12.15924,,778.000030517578,,,,
30,Bangladesh,2015,4.694,4.6632299999999995,4.72477,0.39753,0.43106,0.60164,0.4082,0.12569,0.21222,2.51767,68.2046813964844,,6.05434545962262,4.87301246690126,1.73867129203447,33.85177628,52.5785110798697,19.29,,,,,5.312,,,9.00588487034226,10.9610269,195078678697.23,6.55265279631962,22.1584701382232,87.8887699999999,10.31057686857,20.7,36.4,161200886.0,,,34.7470690115416,147630.0,8.49834882820801,42.0859963070382,,
31,Bangladesh,2016,4.643,4.56,4.726,0.54177,0.24749,0.52989,0.39778,0.12583,0.19132,2.60904,75.92,,6.53161819008467,5.3870931904878,1.6533660805408,35.09996818,51.4654234704502,18.95,,,,,5.284,,64.32827,9.41891628073041,,221415188000.475,7.1134894741232,24.9777492623627,92.24265,11.6908152010428,19.5,34.3,162951560.0,36.192,,,147630.0,8.76502765162342,37.9542963529911,4.34999990463257,
32,Bangladesh,2017,4.60799980163574,4.52617794498801,4.68982165828347,0.586682975292206,0.735131740570068,0.533241033554077,0.478356659412384,0.123717859387398,0.172255352139473,1.97873616218567,,95.14922,,,,,50.3040615510256,,,,,,,,,,,249723862487.361,7.28418409195113,25.3292514401144,92.95076,10.9652075940901,18.4,32.4,164669751.0,33.98251,30.05456,,147630.0,,35.3040000906967,4.37230014801025,
33,Belarus,2015,5.813,5.773619999999999,5.85238,1.03192,1.23289,0.73608,0.37938,0.1909,0.11046,2.1309,100.0,94.63606,-6.80732380124425,-6.95566229818471,4.92641553030256,26.90308894,43.8254479495254,12.5,,,,,12.6,,,28.110499205426,0.40098554,56454734396.5842,-3.82957055828382,32.2008910929742,,-6.33695582955933,1.7,4.1,9489616.0,8.36258,17.57007,6.7708695317313,207600.0,14.1730944654204,115.914826201946,1.0,
34,Belarus,2016,5.802,5.723,5.881,1.13062,1.04993,0.63104,0.29091,0.17457,0.13942,2.38582,100.0,96.42555,-15.6865277901561,-15.7922841829446,4.92641553030256,22.80594633,44.966823973522,12.4,,,,,12.6,,,29.4170537971155,,47749057078.1996,-2.52644643552361,29.837070427282,,-0.0500183075992169,1.6,3.9,9501534.0,8.29763,18.33759,,207600.0,13.7882356123814,125.209322899662,5.84000015258789,
35,Belarus,2017,5.56899976730347,5.49188529059291,5.64611424401402,1.15655755996704,1.44494521617889,0.637714266777039,0.295400261878967,0.156313821673393,0.15513750910759,1.72323298454285,,96.0130999999999,,,,,46.0726556628326,,,,,,,,50.45858,29.4746812444985,,54456465472.6162,2.4219043735669,30.5156893126361,,6.95104967400681,1.5,3.7,9507875.0,8.17536999999999,18.80255,,207600.0,13.0869723961254,134.105362218272,5.65000009536743,
36,Belgium,2015,6.937,6.901050000000001,6.97295,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,2.41484,100.0,98.38075,1.20460367325327,0.619873136488437,6.22215991049321,23.188446,54.193605740924,10.8,,,,,9.8,,,42.0115016067884,0.0,455039563132.776,1.42695680945808,24.9371603778299,,3.42963324161649,2.2,4.0,11274196.0,9.42496,11.23127,9.20164053078148,30530.0,24.6673759202321,160.229325319499,8.48200035095215,
37,Belgium,2016,6.929,6.861,6.997,1.42539,1.05249,0.81959,0.51354,0.26248,0.2424,2.61355,100.0,98.66219,2.36894664004545,1.85196251039048,6.22215991049321,23.85386431,54.7983939052332,10.8,,,,,9.5,,,41.445087224873,,467545548764.571,1.41229201545339,25.2824374889987,,0.349411429841282,2.1,3.9,11331422.0,9.14736,11.30569,,30530.0,23.1360261343397,164.544702629143,7.82969999313354,
38,Belgium,2017,6.89099979400635,6.82617883756757,6.95582075044513,1.46378076076508,1.46231269836426,0.818091869354248,0.539770722389221,0.251343131065369,0.231503337621689,2.12421035766602,,,,,,,55.4384261393054,,,,,,,,,,,492681283049.248,1.72976676241763,25.3294742661379,,-0.465969475002765,2.1,3.8,11372068.0,,,,30530.0,,169.402711456732,7.08620023727417,
39,Benin,2015,3.34,3.3034399999999997,3.37656,0.28665,0.35386,0.3191,0.4845,0.0801,0.1826,1.63328,40.0334777832031,,1.55476488901525,-1.22263994380724,4.01059221652252,15.8495347,86.0977848350733,37.431,,,,,9.319,49.80869,23.73528,,34.23423794,8291155880.59505,2.0958083832335,14.396998246258,,8.15513626834381,33.7,103.7,10575952.0,10.32268,45.04478,50.8626179373594,114760.0,,58.7978847750724,,
40,Benin,2016,3.484,3.404,3.564,0.39499,0.10419,0.21028,0.39747,0.06681,0.2018,2.10812,41.4026145935059,,-0.265888922338604,-2.98433950945649,4.01059221652252,21.0817539,85.5341905465139,37.026,,,,,9.172,,,,,8573159696.61128,3.96485991037314,10.6857552054955,,4.62812560573755,33.1,101.0,10872298.0,10.99168,41.63992,,114760.0,,61.0906566522829,,
41,Benin,2017,3.65700006484985,3.56821657836437,3.74578355133533,0.431085407733917,0.435299843549728,0.209930211305618,0.425962775945663,0.0609290152788162,0.207948461174965,1.88563096523285,,97.03366,,,,,84.8857675229008,,,,,,,,,,,9246696923.66155,5.83782330470896,10.8408472471546,,7.17494261050639,32.7,98.3,11175692.0,,43.56977,,114760.0,,67.5771284358836,,
42,Bhutan,2015,5.253,5.22075,5.2852500000000004,0.77042,1.10395,0.57407,0.53206,0.15445,0.47998,1.63794,98.4235229492188,84.61948,3.35496431894275,1.91920523798296,6.94566347354485,22.56365889,47.2696462772325,18.46,,,,,6.043,,41.49114,18.8664046934208,5.27929865,2059809919.89325,6.64456425820161,23.9682731409364,,4.41421152345052,18.3,33.4,787386.0,12.14578,40.00443,86.9045483179462,38393.9990234375,13.7660707463982,96.4182116610232,2.45000004768372,
43,Bhutan,2016,5.196,5.138,5.254,0.8527,0.90836,0.49759,0.46074,0.1616,0.48546,1.82916,100.0,82.99547,6.41324200759752,5.0287954114234,6.94566347354485,33.19712117,46.4630145386249,18.165,,,,,6.022,,,16.5699350017814,,2219675780.89539,8.02210122067797,32.5888661201362,,2.42309729495487,17.6,32.0,797765.0,11.41873,38.03778,,38393.9990234375,13.1221363901926,77.6897625358544,,
44,Bhutan,2017,5.01100015640259,4.94266575068235,5.07933456212282,0.885416388511658,1.34012651443481,0.495879292488098,0.501537680625916,0.173380389809608,0.474054545164108,1.14018440246582,,81.94659,,,,,45.8461627367307,,,,,,,,,,,2528007911.35353,4.62910139072935,30.7973405726076,,5.50331440406397,16.9,30.8,807610.0,11.0089,34.56294,,38393.9990234375,,78.6453361616911,,
45,Bolivia,2015,5.89,5.8335799999999995,5.94642,0.68133,0.97841,0.5392,0.57414,0.088,0.20536,2.82334,91.522822,89.88581,4.21712247959005,2.6375847309464,6.08,14.71966453,63.6947930802743,23.549,,,,,7.353,,,,3.12527749,33000198263.3864,4.857187894912,14.0850239157884,99.39917,4.57660301616825,19.9,37.5,10724705.0,20.84395,18.10837,17.5381818257023,1098580.0,,67.9328449414657,3.06599998474121,
46,Bolivia,2016,5.822,5.74,5.904,0.79422,0.83779,0.4697,0.50961,0.07746,0.21698,2.91635,93.0391311645508,90.8799499999999,3.75550667144947,2.20051991533592,6.08,15.33280999,62.8959710638084,23.252,,,,,7.297,,,,,33941126193.9219,4.26391940393987,13.6323383869836,,6.18482321057958,19.2,36.1,10887882.0,20.01377,18.35972,,1098580.0,,56.4010345452952,3.05599999427795,
47,Bolivia,2017,5.82299995422363,5.74202300593257,5.9039769025147,0.833756566047668,1.22761905193329,0.473630249500275,0.558732926845551,0.0604777261614799,0.22556072473526,2.44327902793884,,92.50107,,,,,62.1888241515707,,,,,,,,,,,37508642112.8799,4.19520701912501,15.3239220505428,,3.2869667852671,18.5,34.9,11051600.0,20.58499,18.76043,,1098580.0,,56.7046528441721,3.23280000686646,
48,Bosnia and Herzegovina,2015,4.949,4.8798699999999995,5.01813,0.83223,0.91916,0.79081,0.09245,0.00227,0.24808,2.06367,100.0,,4.46504436985474,5.35256388659002,,13.04526282,43.2557828613795,9.12,,,,,10.886,,,36.9160703202984,2.39441043,16209702863.6235,3.07682267108953,-3.79499115837574,,6.39335426551585,4.2,6.0,3535961.0,10.14673,17.16401,40.7500602307998,51210.0,19.9364771928983,88.0873801341512,27.6499996185303,
49,Bosnia and Herzegovina,2016,5.163,5.063,5.263,0.93383,0.64367,0.70766,0.09511,0.0,0.29889,2.48406,100.0,,4.08203659970681,4.64864303879871,,14.79692774,43.5833619126941,9.158,,,,,11.037,,,35.3266106177172,,16911088173.7458,3.14406999762494,-0.867674598698115,,5.38680471720028,4.1,5.9,3516816.0,9.73101999999999,17.28654,,51210.0,19.9541372036541,87.7617410681663,25.4099998474121,
50,Bosnia and Herzegovina,2017,5.18200016021729,5.08766463369131,5.27633568674326,0.982409417629242,1.0693359375,0.705186307430267,0.204403176903725,0.0,0.328867495059967,1.89217257499695,,,,,,,44.2969251778604,,,,,,,,,,,18054854788.5214,3.18620256141375,1.16499552619581,,8.19783215969878,4.0,5.7,3507017.0,9.34286,17.19917,,51210.0,,94.5667383549837,20.4699993133545,
51,Botswana,2015,4.332,4.28266,4.38134,0.99355,1.10464,0.04776,0.49495,0.12474,0.10461,1.46181,58.528751373291,,1.26240908582808,-0.599663018516921,9.48,41.13945886,55.0809943392412,24.14,,,,,7.022,,,29.3438538394978,8.35538908,14406496463.6055,-1.69793550237911,27.314008752457,,3.23758810440975,27.0,40.6,2209197.0,,,28.8798269935477,581730.0,24.7116701898132,105.794545059157,,
52,Botswana,2016,3.974,3.875,4.073,1.09426,0.89186,0.34752,0.44089,0.10769,0.12425,0.96741,60.6883964538574,,3.96145281996563,2.06435242394637,9.48,43.98348216,54.9102244080015,23.669,,,,,6.684,,,25.8123931039954,,15648632361.5749,4.31548650431786,34.4879442138474,,1.55205652722226,26.2,39.3,2250260.0,,,,581730.0,20.8476378152197,92.9109735459173,,
53,Botswana,2017,3.76600003242493,3.65787739858031,3.87412266626954,1.12209415435791,1.22155499458313,0.341755509376526,0.505196332931519,0.0985831990838051,0.0993484482169151,0.3779137134552,,,,,,,54.6724468184193,,,,,,,,,26.0500065838778,,17406565823.2986,2.36008074547438,33.0532636312854,,1.92972403467589,25.4,37.6,2291661.0,,,,581730.0,22.1441337435689,73.7553416222414,,
54,Brazil,2015,6.983,6.94224,7.023759999999999,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,3.26001,99.710902,96.85231,-4.32964512842507,-5.14205213152059,5.68859537743985,14.74741982,43.8242632414608,14.405,10.5835194924325,41.3282641125529,53.8087112251176,23.7161630091311,6.092,25.61507,41.3708,36.1580527182412,0.73362756,1802214373741.32,-3.54976724660116,16.2583827610954,98.96375,-8.48427123497169,9.4,15.7,205962108.0,16.45139,20.58529,43.7903891971588,8515770.0,12.8248632636748,26.9536259376792,,136.123065720007
55,Brazil,2016,6.952,6.875,7.029,1.08754,1.03938,0.61415,0.40425,0.14166,0.15776,3.50733,100.0,97.20202,-3.96647714074656,-4.7484039926055,5.68859537743985,14.17305288,43.6443157926871,14.163,,,,,6.165,,,35.7332420572231,,1793989048409.29,-3.46816285562606,15.8021948074173,,-5.5727592067886,9.6,16.3,207652865.0,16.60114,20.31899,,8515770.0,12.7892269167437,24.5742827331193,11.6094999313354,151.751301656654
56,Brazil,2017,6.63500022888184,6.5445309561491,6.72546950161457,1.10735321044922,1.43130600452423,0.616552352905273,0.437453746795654,0.111092761158943,0.16234989464283,2.76926708221436,,,,,,,43.471036247194,,,,,,,,,34.8963465460597,,2055505502224.73,0.97608568137602,16.5182115931805,,1.67589494864285,8.5,14.8,209288278.0,,,,8515770.0,12.6929310649014,24.1197569541318,12.8273000717163,
57,Bulgaria,2015,4.218,4.16972,4.26628,1.01216,1.10614,0.76649,0.30587,0.00872,0.11921,0.89991,100.0,94.79227,3.72301722089001,4.38695807457012,3.85014439616643,23.39089711,51.7058584581101,9.2,,,,,15.3,,,34.7890312412504,,50201314894.5817,3.47118604090714,21.3365592174785,,4.83269191221834,4.1,8.3,7177991.0,,,17.6500779274042,111000.0,20.2013712641913,128.061014821304,9.14330005645752,
58,Bulgaria,2016,4.217,4.104,4.33,1.11306,0.92542,0.67806,0.21219,0.00615,0.12793,1.15377,100.0,93.15892,8.34361839021727,9.10619228600463,3.85014439616643,26.57099023,52.8289936362545,9.1,,,,,15.1,,,32.3617539572931,,53240950226.2443,3.9367581489791,23.4575586954212,,5.96812763890446,3.9,7.9,7127822.0,12.63651,17.61018,,111000.0,20.0410294273877,123.643790502497,7.57460021972656,
59,Bulgaria,2017,4.71400022506714,4.62430574372411,4.80369470641017,1.1614590883255,1.43437945842743,0.708217680454254,0.289231717586517,0.0110515309497714,0.113177694380283,0.996139287948608,,,,,,,53.9349843584801,,,,,,,,,,,58220973782.7715,3.81124815844305,23.7478288838855,,6.10096878553613,3.7,7.5,7075991.0,,,,111000.0,,131.075933394364,6.16440010070801,
60,Burkina Faso,2015,3.587,3.5437600000000002,3.63024,0.25812,0.85188,0.27125,0.39493,0.12832,0.21747,1.46494,18.4700813293457,69.96008,-0.556924599723303,-3.43769288134237,4.31,14.89010081,92.2404614970802,39.436,,,,,8.818,57.86803,22.0908,14.9810451754907,29.56322962,10419303761.3524,3.89454805671508,14.0878397894878,,-2.40793310620556,26.6,88.4,18110624.0,25.19571,42.17715,74.1671878585048,274220.0,15.0749297615291,47.9479044078272,,
61,Burkina Faso,2016,3.739,3.647,3.831,0.31995,0.63054,0.21297,0.3337,0.12533,0.24353,1.87319,19.1647129058838,75.85293,16.3737348960151,13.0297122338309,4.31,,91.561139777724,38.92,,,,,8.568,,,17.3288642188692,,10886363726.8422,5.93413510489553,15.1038284337647,,4.26505510700352,26.0,84.5,18646433.0,23.38275,41.54927,,274220.0,16.6565904125771,51.9403785151064,,
62,Burkina Faso,2017,4.03200006484985,3.93994106531143,4.12405906438828,0.3502277135849,1.04328000545502,0.215844258666039,0.324367851018906,0.120328105986118,0.250864684581757,1.72721290588379,,77.00493,,,,,90.8034241937068,,,,,,,,,21.1144384720465,,12322864244.9183,6.30209605892456,17.2205872307847,,4.70065421576294,25.4,81.2,19193382.0,23.33086,40.68126,,274220.0,17.4269988833649,52.3406940524368,,
63,Burundi,2015,2.905,2.8184199999999997,2.99158,0.0153,0.41587,0.22396,0.1185,0.10062,0.19727,1.83302,7.25208950042725,,-6.47903839402248,-9.29843873096877,5.17552163934371,2.083308248,89.592063479966,42.662,,,,,11.032,,,,40.51923619,3104394858.11518,-3.90000308649554,2.16441558074287,,,23.4,67.1,10199270.0,35.79281,43.22109,95.6789242535879,27830.0,,22.8507110854907,,
